KAWASAKI PUMP PRICE LIST,,,,,,,,,,
Line No.,Brand,,Machine Model No.,Pump No.,SKS Part No.,SKS  Pump No.,SKS Price(USD/PC),Remarks,Images,Description
77,LIUGONG,44,LG915,K3V63DT-9N2J,Y422-0001,SK3V63DT-110R-9N0Q-101,"1,066.00",,,"For LIUGONG LG915 excavators, the K3V63DT-9N2J hydraulic pump (SK3V63DT-110R-9N0Q-101) ensures optimal fluid dynamics and efficiency. Engineered for smaller excavators, it combines lightweight design with dependable performance under various terrain and tasks."
78,LIUGONG,44,LG920/922/923/925/920D,K3V112DT-9N64,Y424-0012,SK3V112DT-11XR-9N09-201,"1,066.00",,,"Compatible with LIUGONG LG920 to LG925 models, the K3V112DT-9N64 pump (SK3V112DT-11XR-9N09-201) offers superior fluid control. Designed to boost efficiency in mid-range excavators, it provides long-lasting performance with minimal hydraulic lag or energy loss."
79,LIUGONG,44,LG230,K3V112DT-9N49,Y424-0088,SK3V112DT-11XR-9N49-201,"1,066.00",,,"The K3V112DT-9N49 hydraulic pump is a top choice for LIUGONG LG230 excavators. Featuring model SK3V112DT-11XR-9N49-201, it ensures stable pressure output and improved component longevity, enabling operators to tackle tough conditions with confidence."
80,LIUGONG,44,LG925EII,K5V140DTP-9N25,Y418-0008,SK5V140DTP-12XR-9N09-205,"1,340.00",,,"Engineered for LIUGONG LG925EII, the K5V140DTP-9N25 pump (SK5V140DTP-12XR-9N09-205) is designed for high-flow applications. It delivers consistent power output and reduced vibration, extending service life and improving equipment responsiveness."
81,ZOOMLION,45,ZE205/210/230/260,K3V112DT-9N94,Y424-0087,SK3V112DT-11XR-9N94-201,"1,066.00",,,"Support ZOOMLION ZE205 to ZE260 excavators with the K3V112DT-9N94 hydraulic pump, model SK3V112DT-11XR-9N94-201. Known for its compact design and high efficiency, this pump ensures optimal hydraulic control in heavy machinery, even during continuous use."
82,VOLVO,,EC210D?SAE?,K3V112DT-1E42,Y424-0031,SK3V112DT-110R-1E42-201,"1,487.00",,#NAME?,"The K3V112DT-1E42 hydraulic pump is an ideal fit for VOLVO EC210D SAE models. Its model SK3V112DT-110R-1E42-201 provides enhanced flow dynamics and pressure regulation for mid-sized excavators, improving productivity while minimizing fuel use and wear."
83,VOLVO,,EC250D?SAE?,K5V140DT-1E05,Y418-0017,SK5V140DT-120R-1E05-201,"1,480.00",,,"Tailored for VOLVO EC250D (SAE), the K5V140DT-1E05 hydraulic pump (SK5V140DT-120R-1E05-201) supports high-efficiency operation with robust construction. It improves machine reliability and ensures strong hydraulic pressure across intense excavation tasks."
84,VOLVO,,EC300D?SAE?,K5V160DT-1E05,Y417-0003,SK5V160DT-120R-1E05-201,"2,100.00",,,"For VOLVO EC300D (SAE), the K5V160DT-1E05 pump (SK5V160DT-120R-1E05-201) is engineered for powerful hydraulic control and durability. This pump provides seamless fluid power delivery and is suitable for rigorous excavation and construction applications."
85,VOLVO,,EC350D( SAE?,K5V160DT-1E06,Y417-0009,SK5V160DT-120R-1E06-201,"2,100.00",,,"The K5V160DT-1E06 pump is built for VOLVO EC350D (SAE) excavators and meets the needs of high-output hydraulic systems. Featuring model SK5V160DT-120R-1E06-201, it provides optimal pressure and flow with increased durability in harsh working environments."
86,VOLVO,,EC480D(olde version SAE?,K5V200DTH-9N2Y,Y419-0011,SK5V200DTH-120R-9N2Y-003,"2,100.00",,,"Support older VOLVO EC480D (SAE) models with the K5V200DTH-9N2Y pump (SK5V200DTH-120R-9N2Y-003). Designed for high-flow applications, it delivers long-term reliability and efficiency, reducing maintenance requirements in demanding operational conditions."
87,VOLVO,,EC480D(new version SAE?,K5V200DTP-9N8X,Y419-0008,SK5V200DTP-12AR-9N8X-002,"2,100.00",,#NAME?,"The K5V200DTP-9N8X pump for VOLVO EC480D (new version SAE) offers unmatched hydraulic control and energy efficiency. With model SK5V200DTP-12AR-9N8X-002, it enhances equipment performance, ensuring consistent flow and power in tough excavation environments."
